Name;Capital;Accession;Population;Area (km²);GDP (US$ M);HDI;MEPs
Austria;Vienna;1995;8926000;83855;447718;0.922;19
Belgium;Brussels;Founder;11566041;30528;517609;0.931;21
Bulgaria;Sofia;2007;6916548;110994;66250;0.816;17
Croatia;Zagreb;2013;4.036.355,00;56594;60702;0.851;12
Cyprus;Nicosia;2004;896000;9251;24280;0.887;6
Czech Republic;Prague;2004;10574153;78866;246953;0.900;21
Denmark;Copenhagen;1973;5833883;43075;347176;0.940;14
Estonia;Tallinn;2004;1330068;45227;31038;0.892;7
Finland;Helsinki;1995;5527493;338424;269654;0.938;14
France;Paris;Founder;67439614;632833;2707074;0.901;79
Germany;Berlin;Founder;83120520;357386;3863344;0.947;96
Greece;Athens;1981;10682547;131990;214012;0.888;21
Hungary;Budapest;2004;9730772;93030;170407;0.854;21
Ireland;Dublin;1973;5006324;70273;384940;0.955;13
Italy;Rome;Founder;59862348;301338;1988636;0.892;76
Latvia;Riga;2004;1893223;64589;35045;0.866;8
Lithuania;Vilnius;2004;2795680;65200;53641;0.882;11
Luxembourg;Luxembourg;Founder;633347;2586;69453;0.916;6
Malta;Valletta;2004;516100;316;14859;0.895;6
Netherlands;Amsterdam;Founder;17614840;41543;902355;0.944;29
Poland;Warsaw;2004;37840001;312685;565854;0.880;52
Portugal;Lisbon;1986;10298252;92212;236408;0.864;21
Romania;Bucharest;2007;19186201;238391;243698;0.828;33
Slovakia;Bratislava;2004;5459781;49035;106552;0.860;14
Slovenia;Ljubljana;2004;2108977;20273;54154;0.917;8
Spain;Madrid;1986;47394223;504030;1397870;0.904;59
Sweden;Stockholm;1995;10370000;449964;528929;0.945;21
